Instructor,Course,Semester,Course_Grade,Pre,Pre %,Post,Post %,% Change,%_Possible_Change,Normalized_Gain
A,Bio 1530,2015_Fall,97.40,11,22,23,46,24,78,0.31
A,Bio 1530,2015_Fall,96.32,17,34,29,58,24,66,0.36
A,Bio 1530,2015_Fall,93.72,10,20,29,58,38,80,0.48
A,Bio 1530,2015_Fall,85.61,19,38,25,50,12,62,0.19
A,Bio 1530,2015_Fall,85.39,18,36,22,44,8,64,0.13
A,Bio 1530,2015_Fall,85.28,14,28,19,38,10,72,0.14
A,Bio 1530,2015_Fall,84.42,11,22,14,28,6,78,0.08
A,Bio 1530,2015_Fall,83.12,14,28,18,36,8,72,0.11
A,Bio 1530,2015_Fall,82.79,18,36,20,40,4,64,0.06
A,Bio 1530,2015_Fall,82.58,15,30,22,44,14,70,0.20
A,Bio 1530,2015_Fall,81.82,15,30,20,40,10,70,0.14
A,Bio 1530,2015_Fall,81.71,13,26,20,40,14,74,0.19
A,Bio 1530,2015_Fall,79.55,10,20,21,42,22,80,0.28
A,Bio 1530,2015_Fall,79.44,19,38,18,36,-2,62,0.00
A,Bio 1530,2015_Fall,78.90,14,28,41,82,54,72,0.75
A,Bio 1530,2015_Fall,78.90,22,44,20,40,-4,56,0.00
A,Bio 1530,2015_Fall,77.71,10,20,15,30,10,80,0.13
A,Bio 1530,2015_Fall,77.38,11,22,13,26,4,78,0.05
A,Bio 1530,2015_Fall,77.38,20,40,19,38,-2,60,0.00
A,Bio 1530,2015_Fall,77.27,13,26,45,90,64,74,0.86
A,Bio 1530,2015_Fall,76.73,13,26,17,34,8,74,0.11
A,Bio 1530,2015_Fall,76.52,19,38,16,32,-6,62,0.00
A,Bio 1530,2015_Fall,76.08,19,38,24,48,10,62,0.16
A,Bio 1530,2015_Fall,75.54,10,20,18,36,16,80,0.20
A,Bio 1530,2015_Fall,75.00,21,42,25,50,8,58,0.14
A,Bio 1530,2015_Fall,73.38,15,30,20,40,10,70,0.14
